Title,Artist,Link bài hát,Link .m4a,Link .mp3
Vanilla,LIGHTSUM,https://chiasenhac.vn/mp3/lightsum/vanilla-tsv7t6zqqtfk1e.html,https://data.chiasenhac.com/down2/2176/3/2175117-bb96dcb5/32/Vanilla%20-%20LIGHTSUM.m4a,https://data.chiasenhac.com/down2/2176/3/2175117-bb96dcb5/128/Vanilla%20-%20LIGHTSUM.mp3
Face,NU'EST,https://chiasenhac.vn/mp3/nuest/face-ts3wc7tmq9vtf8.html,https://data51.chiasenhac.com/downloads/1008/3/1007283-7e954eda/32/Face%20-%20NU_EST.m4a,https://data51.chiasenhac.com/downloads/1008/3/1007283-7e954eda/128/Face%20-%20NU_EST.mp3
Electric Shock,F(x),https://chiasenhac.vn/mp3/fx/electric-shock-ts3wcmb6q9v8qk.html,https://data51.chiasenhac.com/downloads/1008/3/1007093-365ca490/32/Electric%20Shock%20-%20F_x_.m4a,https://data51.chiasenhac.com/downloads/1008/3/1007093-365ca490/128/Electric%20Shock%20-%20F_x_.mp3
I Love You,Kim Bum Soo,https://chiasenhac.vn/mp3/kim-bum-soo/i-love-you-tsvqttbvqeffq2.html,https://data2.chiasenhac.com/stream2/1714/3/1713913-498cf5d9/32/I%20Love%20You%20-%20Kim%20Bum%20Soo.m4a,https://data2.chiasenhac.com/stream2/1714/3/1713913-498cf5d9/128/I%20Love%20You%20-%20Kim%20Bum%20Soo.mp3
Cold Blooded,Jessi,https://chiasenhac.vn/mp3/jessi/cold-blooded-tsv7wz0bqt91nq.html,https://data25.chiasenhac.com/download2/2201/3/2200992-b974769a/32/Cold%20Blooded%20-%20Jessi.m4a,https://data25.chiasenhac.com/download2/2201/3/2200992-b974769a/128/Cold%20Blooded%20-%20Jessi.mp3
Love Hurts,Hwanhee,https://chiasenhac.vn/mp3/hwanhee/love-hurts-tsvqttb3qeffqw.html,https://data2.chiasenhac.com/stream2/1714/3/1713912-d37a6950/32/Love%20Hurts%20-%20Hwanhee.m4a,https://data2.chiasenhac.com/stream2/1714/3/1713912-d37a6950/128/Love%20Hurts%20-%20Hwanhee.mp3
Danger,BTS,https://chiasenhac.vn/mp3/bts/danger-ts3zts37q1f4wt.html,https://data04.chiasenhac.com/downloads/1521/3/1520244-7c216ba3/32/Danger%20-%20BTS.m4a,https://data04.chiasenhac.com/downloads/1521/3/1520244-7c216ba3/128/Danger%20-%20BTS.mp3
Can You Hear My Heart,Epik High; Lee Hi,https://chiasenhac.vn/mp3/epik-high-lee-hi/can-you-hear-my-heart-tsvqrmz5qea81h.html,https://data01.chiasenhac.com/downloads/1737/3/1736342-b59bb031/32/Can%20You%20Hear%20My%20Heart%20-%20Epik%20High_%20Lee%20H.m4a,https://data01.chiasenhac.com/downloads/1737/3/1736342-b59bb031/128/Can%20You%20Hear%20My%20Heart%20-%20Epik%20High_%20Lee%20H.mp3
I'm In Love,Secret,https://chiasenhac.vn/mp3/secret/im-in-love-ts3sbrwqq4qa9e.html,https://data62.chiasenhac.com/downloads/1339/3/1338381-9a784784/32/I_m%20In%20Love%20-%20Secret.m4a,https://data62.chiasenhac.com/downloads/1339/3/1338381-9a784784/128/I_m%20In%20Love%20-%20Secret.mp3
Cry For Me,Twice,https://chiasenhac.vn/mp3/twice/cry-for-me-tsvm7q6qq8teke.html,https://data16.chiasenhac.com/downloads/2141/3/2140221-82a80381/32/Cry%20For%20Me%20-%20Twice.m4a,https://data16.chiasenhac.com/downloads/2141/3/2140221-82a80381/128/Cry%20For%20Me%20-%20Twice.mp3
I'll Make You Cry,aespa,https://chiasenhac.vn/mp3/aespa/i039ll-make-you-cry-tsv7wm6wqt98k9.html,https://data25.chiasenhac.com/download2/2200/3/2199106-aa1c3662/32/I_ll%20Make%20You%20Cry%20-%20aespa.m4a,https://data25.chiasenhac.com/download2/2200/3/2199106-aa1c3662/128/I_ll%20Make%20You%20Cry%20-%20aespa.mp3
